Parameter,S1,S1_conf,ST,ST_conf
mu_u,0.005483943311783893,0.0016122616097934907,0.011115154378322637,0.0005458652325496358
sigma_u,0.050033567051669094,0.004896133096621158,0.09078554727928326,0.004909082617309383
xi_u,0.1139364659545908,0.0063705163348287824,0.1902382679796286,0.008634748779345943
dr_u,0.03416585214612198,0.005419784565857269,0.1139064095978631,0.008045526207735661
lt_u,0.1788464724252402,0.011831150544656846,0.3997986771886151,0.020121272562217272
dd_err,0.022159444029472064,0.003391733556725627,0.049913715517777124,0.002435684566757208
hv_rate,0.2273589647189756,0.012328174368592563,0.4302657385891294,0.02317397163777878
b1,0.005489490318112343,0.0017551548011668922,0.01599833376875619,0.0011031829421232703
b2,0.01850514142632282,0.0032272066154187405,0.05698731184828544,0.004663511190457373
