nsow,iteration,dh,upfront_cost,total_cost,bcr,reliability,satisficing
10,1,0,0.0,573953.4955212583,,0.18101173258425152,0.0
10,1,3,141285.0,406533.05291199434,2.1849838454844033,0.5017263964588782,30.0
10,1,9,153870.0,231667.93999632314,3.224511311658771,0.808234489477171,70.0
10,1,14,191370.0,225932.4453170048,2.818576841742454,0.9038258120656897,80.0
10,2,0,0.0,1270814.7882942497,,0.04840102667367817,0.0
10,2,3,141285.0,860062.4719015043,3.907260617848641,0.21681782168189706,0.0
10,2,9,153870.0,424211.266546948,6.502070070496532,0.5875159131940982,60.0
10,2,14,191370.0,327656.1399987765,5.928456123193149,0.7653880750774948,60.0
10,3,0,0.0,527160.2642224233,,0.2878710460868129,0.0
10,3,3,141285.0,386389.8305469704,1.9963579550232005,0.5241888334280789,0.0
10,3,9,153870.0,217751.1366090905,3.0108476481012083,0.8328650229697298,20.0
10,3,14,191370.0,217057.85233212024,2.620433776925867,0.9280809626691185,30.0
10,4,0,0.0,1014365.1942940647,,0.15835570204361685,0.0
10,4,3,141285.0,612837.0051265255,3.8419732396754016,0.41992448733868015,0.0
10,4,9,153870.0,273054.38916458003,5.817773478452492,0.7934304277945669,60.0
10,4,14,191370.0,237649.85644722107,5.058710026894725,0.9046688818619947,40.0
10,5,0,0.0,1268332.1710889083,,0.23278138056509504,0.0
10,5,3,141285.0,737977.2093404892,4.7537952489536695,0.4767783102971522,0.0
10,5,9,153870.0,304018.00349478895,7.2670706934043,0.826014546072779,30.0
10,5,14,191370.0,244983.25511086948,6.3474887180751365,0.9349535389720461,40.0
10,6,0,0.0,479337.6180613423,,0.2206011769587389,0.0
10,6,3,141285.0,355619.52775185637,1.8756633068583775,0.5389858065565072,20.0
10,6,9,153870.0,209843.66426580277,2.751439226590885,0.8562678099487304,70.0
10,6,14,191370.0,213689.423898873,2.388139176268324,0.9414331295591631,70.0
10,7,0,0.0,623031.1312149618,,0.1807121000800261,0.0
10,7,3,141285.0,440077.644235643,2.294925059130968,0.3995764352808486,0.0
10,7,9,153870.0,233624.06601482705,3.530753656984043,0.7830145659315715,50.0
10,7,14,191370.0,222684.11797645688,3.092005085637795,0.9073523625984349,70.0
10,8,0,0.0,1150648.506229662,,0.11937177400032517,0.0
10,8,3,141285.0,752848.6466179838,3.8155845249791427,0.3671428361899768,10.0
10,8,9,153870.0,370086.279999878,6.072868175926327,0.7264155353525729,60.0
10,8,14,191370.0,300001.97540296306,5.4450359556184305,0.8538302944566031,70.0
10,9,0,0.0,542229.5513167825,,0.09304806325102295,0.0
10,9,3,141285.0,402364.52412565565,1.9899495855266085,0.3143138123318253,0.0
10,9,9,153870.0,222886.94420181052,3.0754052584322613,0.7140487922739353,50.0
10,9,14,191370.0,217412.18318438754,2.697326478196138,0.8720789632806616,80.0
10,10,0,0.0,802725.3889479602,,0.22462057131152005,0.0
10,10,3,141285.0,501668.16367920814,3.130850587597778,0.4776456476401162,10.0
10,10,9,153870.0,248354.1993773051,4.60285428979434,0.7924015056129934,50.0
10,10,14,191370.0,229401.13289325422,3.9958941111705384,0.9040270441033809,60.0
100,1,0,0.0,936906.9799670321,,0.1830789384038306,0.0
100,1,3,141285.0,563039.8173559797,3.6461914754648577,0.45981654734889443,16.0
100,1,9,153870.0,258552.0648259906,5.408623611756947,0.8226229245983635,64.0
100,1,14,191370.0,232303.5256124889,4.681890862489122,0.9267013989719668,68.0
100,2,0,0.0,1262422.250763457,,0.1606254178555534,0.0
100,2,3,141285.0,753203.8156010291,4.604193192217348,0.42911804397505404,7.000000000000001
100,2,9,153870.0,333676.9697478867,7.035908760743293,0.8091676756744945,60.0
100,2,14,191370.0,270671.810088018,6.182371535117516,0.9197487067872225,65.0
100,3,0,0.0,1755442.0272031736,,0.156382774800759,0.0
100,3,3,141285.0,1033500.1991533333,6.1098264362801435,0.41217575261328576,8.0
100,3,9,153870.0,438154.9333483729,9.56103914898811,0.7939949273835056,62.0
100,3,14,191370.0,322656.09298583696,8.486993437933513,0.9141680900047082,67.0
100,4,0,0.0,1629359.193169649,,0.1309779238044214,0.0
100,4,3,141285.0,908740.8916557634,6.100458658129919,0.39538139616761775,12.0
100,4,9,153870.0,370077.70851588505,9.184061120775745,0.8049260559143583,64.0
100,4,14,191370.0,286951.40823877533,8.01472427721625,0.9241271229044259,69.0
100,5,0,0.0,1177679.914825443,,0.13969731864809298,0.0
100,5,3,141285.0,694911.1855873353,4.416985024865399,0.39098564373706013,12.0
100,5,9,153870.0,299504.3544779722,6.707256517498349,0.7870572684288767,66.0
100,5,14,191370.0,248244.73455619562,5.856744423207647,0.911489677244468,72.0
100,6,0,0.0,2455335.830267966,,0.15406331134957207,0.0
100,6,3,141285.0,1375652.5354079497,8.641881975156716,0.3936328064561468,13.0
100,6,9,153870.0,512244.2224163466,13.628138089631634,0.7624776697719946,57.99999999999999
100,6,14,191370.0,337449.26245341287,12.066972711577328,0.8940052183078896,63.0
100,7,0,0.0,1782683.2338453918,,0.1702363857605944,0.0
100,7,3,141285.0,1025163.4241238406,6.3616435553777935,0.4253940025737198,3.0
100,7,9,153870.0,413626.4285059552,9.89749012373716,0.7930584179691859,49.0
100,7,14,191370.0,303067.80748152913,8.731699986224921,0.9112095968661038,51.0
100,8,0,0.0,1485744.4101173782,,0.164119657916489,0.0
100,8,3,141285.0,855823.0580530069,5.458515426721672,0.42418808681224507,14.000000000000002
100,8,9,153870.0,354959.0878131603,8.348965505324092,0.7884115165281051,61.0
100,8,14,191370.0,276550.28986449895,7.318619011615612,0.904594712013197,62.0
100,9,0,0.0,1059194.172360191,,0.17670145675267482,0.0
100,9,3,141285.0,652527.4103456492,3.878343504367356,0.43393247675772095,7.000000000000001
100,9,9,153870.0,300557.7105402195,5.930372794046735,0.7988257913054868,52.0
100,9,14,191370.0,254431.74240417578,5.205269529999558,0.9119563318666849,59.0
100,10,0,0.0,1284539.372921456,,0.17958404298337471,0.0
100,10,3,141285.0,726252.3846711611,4.951495121564885,0.4333301213663159,10.0
100,10,9,153870.0,304615.87128013314,7.368515640744281,0.7899742183557972,59.0
100,10,14,191370.0,252510.14220854014,6.392847524235333,0.9048771879095454,62.0
1000,1,0,0.0,1878425.1281198359,,0.1601794336224586,0.0
1000,1,3,141285.0,900682.6221448374,7.920356060268244,0.4223040104065741,11.3
1000,1,9,153870.0,311850.80895839154,11.181154995525084,0.7976548117647533,62.3
1000,1,14,191370.0,248620.82478694437,9.516508874603606,0.9132511467237078,67.7
1000,2,0,0.0,1445352.2969577298,,0.15894104216530117,0.0
1000,2,3,141285.0,808476.7436433289,5.507736513532229,0.40621968593458335,9.3
1000,2,9,153870.0,330301.75615652377,8.246705275890077,0.777103063860189,58.4
1000,2,14,191370.0,263702.5973333461,7.174686207996991,0.9000627390861883,65.10000000000001
1000,3,0,0.0,2178527.94792109,,0.16120314982148892,0.0
1000,3,3,141285.0,1186701.203451087,8.020042782107106,0.41473158849234343,11.0
1000,3,9,153870.0,435092.9155968802,12.330571471529272,0.786586316881652,57.8
1000,3,14,191370.0,301627.47722007765,10.807704816329686,0.9056696417292078,64.3
1000,4,0,0.0,2791916.466478653,,0.16036630371574034,0.0
1000,4,3,141285.0,1366631.166863693,11.088015710195418,0.4156357408340948,8.7
1000,4,9,153870.0,436910.40736538486,16.305167083338322,0.7900291448203605,57.4
1000,4,14,191370.0,296410.026091809,14.04021759098523,0.9088009513084583,64.2
1000,5,0,0.0,2635527.3881624206,,0.15245279733163256,0.0
1000,5,3,141285.0,1323872.2528957315,10.28375365584945,0.4065434907886611,10.9
1000,5,9,153870.0,461489.50459451164,15.129056239474291,0.7815820576816926,57.8
1000,5,14,191370.0,322454.0810389168,13.086917004355458,0.9018294744501479,65.3
1000,6,0,0.0,1466252.6087774332,,0.15847855821714665,0.0
1000,6,3,141285.0,859287.1785723886,5.2960358863647565,0.42002409501060867,10.8
1000,6,9,153870.0,367352.1790403513,8.141745822688515,0.7938772162583532,59.8
1000,6,14,191370.0,286077.32591938484,7.166981673501847,0.9088020616591814,66.3
1000,7,0,0.0,1421280.5127326185,,0.16058412933198338,0.0
1000,7,3,141285.0,790550.6993787864,5.464237628579342,0.4107253703311048,11.200000000000001
1000,7,9,153870.0,316497.836312001,8.179974500686408,0.7856395116482822,59.199999999999996
1000,7,14,191370.0,254406.02864509873,7.097478623020954,0.9070430535224933,65.8
1000,8,0,0.0,2049406.6467975331,,0.15536465736890018,0.0
1000,8,3,141285.0,1126358.2975209393,7.533236714984563,0.41102997658071116,10.2
1000,8,9,153870.0,425919.0738593052,11.551033813857336,0.7893585836925576,60.5
1000,8,14,191370.0,302456.2213885693,10.128653526722912,0.9085591572132844,67.4
1000,9,0,0.0,1539740.951652898,,0.15920698823839644,0.0
