Parameter,S1,S1_conf,ST,ST_conf
mu_u,0.002370153634849732,0.0007551929776127168,0.0048681897139375855,0.00020239603844137707
sigma_u,0.019988693368057323,0.002246795500714551,0.03905919879881823,0.0014964795149081905
xi_u,0.030790838026773043,0.0030814743888009167,0.05123819902586127,0.0016521335635481988
dr_u,0.03508591380990179,0.00497259518629032,0.16767536484279916,0.012122786952255882
lt_u,0.23127008188702625,0.0114521554548366,0.5626732592635092,0.023149179582398673
dd_err,0.016308944080895435,0.002628249343968061,0.04403732824348809,0.0022807497170630373
hv_rate,0.1849604972267837,0.007202940868647061,0.45005100335967163,0.020151591366743857
b1,0.009573246644397794,0.00195024674921992,0.031905266278225736,0.0014439019032914406
b2,0.06588050638589603,0.005467989425132729,0.19215939953338015,0.010206527557878396
