nsow,dh,upfront_cost,total_cost,bcr,reliability,satisficing
10000,0.0,0.0,204215.6827206702,,0.11132550446556207,0.0
10000,0.4827586206896552,20745.0,200772.80294671684,1.165961907638147,0.13977185486594254,0.0
10000,0.9655172413793104,20745.0,179656.74507386924,2.183848524791562,0.1718886062696905,0.9900000000000001
10000,1.4482758620689655,20745.0,161215.73957301374,3.072785883232416,0.2072291915669181,3.01
10000,1.9310344827586208,20745.0,145102.48481308456,3.849515445051128,0.24519840158255005,6.18
10000,2.413793103448276,20745.0,131013.63881653633,4.528659624205055,0.28510624281212005,9.34
10000,2.896551724137931,20745.0,118684.7499607666,5.122966148946907,0.3262248848109611,13.48
10000,3.3793103448275863,141893.7931034483,229034.4330448204,0.8250892461091942,0.3678405285143456,0.19
10000,3.8620689655172415,142668.62068965516,220339.85481333532,0.8869816501013227,0.4092947840836623,1.47
10000,4.344827586206897,143443.4482758621,212801.2704963669,0.9401465324565719,0.4500131541290883,4.53
10000,4.827586206896552,144218.275862069,206268.00038351948,0.9857693648701492,0.48952073037611865,8.88
10000,5.310344827586207,144993.7684729064,200610.10293275103,1.0248671361941524,0.5274468867171465,15.409999999999998
10000,5.793103448275862,145769.63054187194,195714.13677251345,1.058321791147812,0.5635215750835257,24.01
10000,6.275862068965518,146545.49261083745,191481.74837963562,1.0868940703270247,0.5975659787515392,33.51
10000,6.758620689655173,147321.35467980296,187828.09880603856,1.111236989031559,0.6294799900693271,42.230000000000004
10000,7.241379310344828,148097.21674876846,184679.73049216453,1.1319130275192573,0.659228476336853,49.0
10000,7.724137931034483,148873.078817734,181973.02880963453,1.149406824173143,0.6868277417104829,53.82
10000,8.206896551724139,149648.94088669954,179652.8833668204,1.164136138941648,0.712333084068596,56.730000000000004
10000,8.689655172413794,151542.41379310345,178789.13663393134,1.1677850144412572,0.7358279307241942,57.86
10000,9.172413793103448,155163.10344827586,179949.96130912314,1.1563884768496921,0.7574147331776506,57.17
10000,9.655172413793103,158783.7931034483,181372.1719157229,1.1438655064126388,0.7772076017686594,56.24
10000,10.13793103448276,162404.4827586207,183024.51258199572,1.1304838990815949,0.7953265387875965,55.00000000000001
10000,10.620689655172415,166025.17241379313,184879.792393992,1.1164636063649818,0.8118930647706816,53.839999999999996
10000,11.10344827586207,169645.86206896554,186914.3276726856,1.1019851285317597,0.8270270084412441,52.68000000000001
10000,11.586206896551724,173266.55172413794,189107.46240376472,1.0871964044217812,0.8408442366275897,51.300000000000004
10000,12.068965517241379,176887.24137931035,191441.1560567171,1.0722184741213747,0.8534551315944795,49.86
10000,12.551724137931036,180507.93103448275,193899.62943391418,1.0571501386539373,0.8649636473076835,48.46
10000,13.03448275862069,184128.6206896552,196469.06043103448,1.0420717988361652,0.8754668023390383,47.199999999999996
10000,13.517241379310345,187749.3103448276,199137.32264138228,1.0270486217497192,0.8850544948625949,45.769999999999996
10000,14.0,191370.0,201893.7606778172,1.01213315589096,0.893809549097557,44.39
