nsow,iteration,dh,upfront_cost,total_cost,bcr,reliability,satisficing
10,1,0,0.0,1345334.4745391058,,0.16295363283623596,0.0
10,1,3,141285.0,712876.3965354579,5.4764700994702045,0.48320375269938987,30.0
10,1,9,153870.0,255092.96069407402,8.085471591895963,0.8827683198522059,70.0
10,1,14,191370.0,215578.12541223946,6.90351857201686,0.9698586600387952,60.0
10,2,0,0.0,6041095.729798931,,0.23307602867523142,0.0
10,2,3,141285.0,2517785.5417767046,25.937609711025424,0.464596076308487,10.0
10,2,9,153870.0,500605.7668026119,37.00760358092103,0.8071804413331012,30.0
10,2,14,191370.0,269240.26261523104,31.160712061366468,0.9180663392605256,50.0
10,3,0,0.0,376933.22210948425,,0.2732070412495995,0.0
10,3,3,141285.0,298741.5285820706,1.5534323780119168,0.5295502068532215,10.0
10,3,9,153870.0,185364.1996508693,2.245005670102132,0.858882596948991,70.0
10,3,14,191370.0,201258.0338702073,1.917987083865167,0.9499763787776008,70.0
10,4,0,0.0,4535561.36804595,,0.07066237188616534,0.0
10,4,3,141285.0,2822479.2621899107,13.125010481339405,0.22628789118371323,0.0
10,4,9,153870.0,1211698.9749901542,22.601757282483884,0.5872901998480496,50.0
10,4,14,191370.0,731004.028723732,20.88063614632501,0.7776616806009194,80.0
10,5,0,0.0,1781826.5870182328,,0.13295647525552143,0.0
10,5,3,141285.0,1017033.3920564314,6.413123792064274,0.32081098940645153,0.0
10,5,9,153870.0,382960.5341893489,10.091220204256084,0.7112108796302635,40.0
10,5,14,191370.0,274589.3541673984,8.876037168055777,0.8709298140420542,40.0
10,6,0,0.0,2800688.7527677044,,0.1924320001250675,0.0
10,6,3,141285.0,1512314.9783215863,10.118970693605961,0.42106182628213784,10.0
10,6,9,153870.0,504411.09719060967,15.923491620050006,0.76951732305058,50.0
10,6,14,191370.0,312182.07411259116,14.003640479987007,0.9027537814798192,50.0
10,7,0,0.0,338034.7835144376,,0.20985309086051585,0.0
10,7,3,141285.0,291360.66115006746,1.3303544067973958,0.48837121268756195,0.0
10,7,9,153870.0,188483.0229667383,1.971935793512051,0.8404154179450934,50.0
10,7,14,191370.0,203357.27817317628,1.703754534886666,0.9391504085419138,40.0
10,8,0,0.0,1159500.8587097577,,0.0837778727190007,0.0
10,8,3,141285.0,605524.7416654939,4.920983239864557,0.31087049591115284,0.0
10,8,9,153870.0,228533.02052387106,7.0503531434710265,0.7787198602744798,30.0
10,8,14,191370.0,209739.64754756042,5.962957679689593,0.9298247335884591,50.0
10,9,0,0.0,299641.325270387,,0.23464574809030112,0.0
10,9,3,141285.0,277015.8512973238,1.1601406658390003,0.49484818641988904,20.0
10,9,9,153870.0,188992.76594820624,1.7191041744471351,0.8102539956324699,80.0
