nsow,dh,upfront_cost,total_cost,bcr,reliability,satisficing
10000,0.0,0.0,201873.31185147128,,0.15831407381148882,0.0
10000,0.4827586206896552,24670.85049695922,208114.1971590099,0.7456241272250232,0.18667074390715166,0.0
10000,0.9655172413793104,24670.85049695922,192028.44124410336,1.396405994357925,0.21638205288422319,0.31
10000,1.4482758620689655,24670.85049695922,177984.00793112055,1.9646000124003615,0.2468073277571463,2.97
10000,1.9310344827586208,24670.85049695922,165715.7063723021,2.4609354295826193,0.27733224634382414,7.7299999999999995
10000,2.413793103448276,24670.85049695922,154991.86616354226,2.894785274686794,0.3074099494520265,13.23
10000,2.896551724137931,24670.85049695922,145610.4893668388,3.274322051078212,0.3365862165754271,18.67
10000,3.3793103448275863,168746.23071109358,281471.12178058445,0.5272968892964734,0.3645097289351118,0.0
10000,3.8620689655172415,169667.68916085153,275191.6181480122,0.5667934300205257,0.39093052410714374,0.0
10000,4.344827586206897,170589.1476106096,269793.20031097997,0.6007080205928745,0.4156904705189083,0.04
10000,4.827586206896552,171510.60606036763,265160.7705314564,0.629800459800222,0.4387093585161327,0.16999999999999998
10000,5.310344827586207,172432.85538615537,261195.368028081,0.6547224698611475,0.45996946495680485,0.48
10000,5.793103448275862,173355.5440875152,257810.24140863662,0.6760391050033676,0.4795005601901528,0.86
10000,6.275862068965518,174278.23278887506,254930.14692955394,0.6942376388197199,0.49736651656796577,1.44
10000,6.758620689655173,175200.92149023485,252490.334302454,0.7097362217297901,0.5136540505298429,2.04
10000,7.241379310344828,176123.61019159466,250434.75844403898,0.7228949072630703,0.5284637039287738,2.75
10000,7.724137931034483,177046.29889295454,248714.90235257297,0.7340238022531513,0.5419029161556604,3.4799999999999995
10000,8.206896551724139,177968.9875943144,247288.7524452797,0.7433901083925484,0.5540809117596585,4.25
10000,8.689655172413794,180220.78740120443,247449.0198007166,0.745683986998487,0.5651050838225566,4.81
10000,9.172413793103448,184526.66800755032,249889.11663326653,0.7383746119730207,0.5750785567972398,5.09
10000,9.655172413793103,188832.54861389622,252527.5804232241,0.730350097452307,0.5840986542323962,5.38
10000,10.13793103448276,193138.4292202421,255340.62936396137,0.721781177060687,0.5922560465756804,5.48
10000,10.620689655172415,197444.30982658803,258307.5850273718,0.7128080024905199,0.5996343931041943,5.56
10000,11.10344827586207,201750.1904329339,261410.4450697102,0.7035455209716233,0.6063103191712944,5.37
10000,11.586206896551724,206056.07103927978,264633.5162149672,0.6940878865455125,0.6123536016975321,5.01
10000,12.068965517241379,210361.95164562564,267963.0989668436,0.684512084133803,0.6178274931214355,4.65
10000,12.551724137931036,214667.83225197153,271387.21674146655,0.6748809109038988,0.6227891306284283,4.2
10000,13.03448275862069,218973.71285831742,274895.38322374487,0.6652454316472471,0.6272899878028504,3.73
10000,13.517241379310345,223279.5934646633,278478.4025617963,0.6556470032523419,0.6313763401063143,3.1
10000,14.0,227585.47407100917,282128.19771386555,0.6461189458917421,0.6350897255776646,2.52
