Parameter_1,Parameter_2,S2,S2_conf
mu_u,sigma_u,0.0008798380778897857,0.001685907608866765
mu_u,xi_u,0.0011769526902739025,0.0020404985557569214
mu_u,dr_u,0.0006080889156953925,0.0014960947289963033
mu_u,lt_u,0.0009714659496862371,0.0017781642833780964
mu_u,dd_err,0.0007157211495056126,0.0014790726492527658
mu_u,hv_rate,0.000564162880895995,0.0014078801415387278
mu_u,b1,0.000537009387735874,0.0013680673890738527
mu_u,b2,0.0007831767939101633,0.001525009410488947
sigma_u,xi_u,0.024979691100574963,0.015963019733763986
sigma_u,dr_u,-0.0021330762301205383,0.012365998099129452
sigma_u,lt_u,0.005051132475287476,0.014795522932719374
sigma_u,dd_err,-0.0042100624119044755,0.01208598980615396
sigma_u,hv_rate,0.008569683724385699,0.015738790564322785
sigma_u,b1,-0.004844908475733503,0.011701768138877357
sigma_u,b2,-0.0027880840049664436,0.012330603567925192
xi_u,dr_u,0.047604071651737585,0.04085702208858114
xi_u,lt_u,0.078812353336991,0.03648289878312772
xi_u,dd_err,0.0397084110505155,0.0382832777334029
xi_u,hv_rate,0.10548383915884167,0.04104578727211285
xi_u,b1,0.027747864940568044,0.0366299594111357
xi_u,b2,0.032960093748010164,0.03779947000897837
dr_u,lt_u,0.013781257119637777,0.01426480244748501
dr_u,dd_err,-0.004094946677178344,0.008292207385474629
dr_u,hv_rate,0.0008756987982584188,0.009110973707706612
dr_u,b1,-0.004966157484132014,0.007612166532278479
dr_u,b2,-0.003732719348112229,0.008104700378532987
lt_u,dd_err,-0.0044952181835039495,0.020118326871944526
lt_u,hv_rate,0.029768553758129396,0.023392795406967745
lt_u,b1,-0.005542819263449204,0.019339021488388845
lt_u,b2,0.006513036032034434,0.020888112681045356
dd_err,hv_rate,-0.0018850543015794322,0.004800546969146419
dd_err,b1,-0.0028749967356743278,0.004592455166828219
dd_err,b2,-0.002826990093780315,0.0051655741675740805
hv_rate,b1,0.007028243586398593,0.012963328116610162
hv_rate,b2,0.012665727923008786,0.013491808227510912
b1,b2,0.001051586524256888,0.0023198206906201316
