nsow,dh,yr_elev,upfront_cost,damages,total_cost,bcr,reliability,satisficing
500000,0.0,0,0.0,2479432.235110819,2479432.235110819,,0.1349464395522597,0.0
500000,0.0,10,0.0,2479432.235110819,2479432.235110819,,0.1349464395522597,0.0
500000,0.0,20,0.0,2479432.235110819,2479432.235110819,,0.1349464395522597,0.0
500000,3.0,0,141285.0,1196969.6116513123,1338254.6116513123,9.07713220412292,0.37491873784101476,9.1378
500000,3.0,10,168007.3201713774,1225609.3885699955,1393616.7087413731,7.4532982336281,0.3093886049346942,2.3634
500000,3.0,20,196053.10081082222,1262589.4861261817,1458642.586937004,6.13955663969789,0.25605474383065385,0.24979999999999997
500000,3.3793103448275863,0,141893.7931034483,1095955.2718609783,1237849.0649644267,9.75008795656911,0.40762009683668426,12.853600000000002
500000,3.3793103448275863,10,168731.25900316538,1126799.8266872296,1295531.0856903947,8.006205237679236,0.3313971567078867,3.7324
500000,3.3793103448275863,20,196897.88812499767,1166632.1141798215,1363530.0023048192,6.595291898695299,0.27028922629289714,0.49179999999999996
500000,3.7586206896551726,0,142502.58620689652,1004467.2765856299,1146969.8627925264,10.350443439557777,0.4397699026959526,16.808799999999998
500000,3.7586206896551726,10,169455.19783495332,1037300.4929653493,1206755.6908003027,8.499520588378585,0.352724807405525,5.355
500000,3.7586206896551726,20,197742.6754391731,1079706.145163271,1277448.8206024442,7.00195783847935,0.2839042564853971,0.8168
500000,4.137931034482758,0,143111.37931034484,921559.0253806596,1064670.4046910044,10.885739605316965,0.4711368938511204,20.8734
500000,4.137931034482758,10,170179.13666674122,956187.2620283721,1126366.3986951136,8.939427317722398,0.3732508322715149,7.156
500000,4.137931034482758,20,198587.46275334852,1000916.3272252881,1199503.7899786367,7.364640145615021,0.29684611583279175,1.2322
500000,4.517241379310345,0,143720.17241379316,846378.0086598276,990098.1810736207,11.362734952398817,0.5015345040109165,24.9262
500000,4.517241379310345,10,170903.07549852922,882627.7326221714,1053530.8081207005,9.331467791359744,0.39288588113337497,9.0932
500000,4.517241379310345,20,199432.250067524,929456.1104535613,1128888.3605210856,7.687898251018547,0.30908103305851153,1.6974
500000,4.896551724137931,0,144328.96551724145,778156.9765825713,922485.9420998126,11.787483215384198,0.5308188026473005,28.910999999999998
500000,4.896551724137931,10,171627.01433031715,815872.6366199688,987499.6509502858,9.680607197303228,0.41156907191565784,11.165600000000001
500000,4.896551724137931,20,200277.03738169945,864599.3599160194,1064876.3972977188,7.975817385457548,0.32059254283106126,2.2194
500000,5.275862068965517,0,144938.3497536946,716205.8169152659,861144.1666689605,12.165354588291816,0.5588849495022091,32.8006
500000,5.275862068965517,10,172351.656100648,755247.935135456,927599.591236104,9.991250705675096,0.4292644596333064,13.253400000000001
500000,5.275862068965517,20,201122.64497728203,805692.7284841301,1006815.3734614121,8.232022499860133,0.3313786806672439,2.7772
500000,5.655172413793103,0,145547.9556650247,659904.1085798035,805452.064244828,12.501227641552166,0.5856627759735435,36.4296
