nsow,dh,yr_elev,upfront_cost,damages,total_cost,bcr,reliability,satisficing
500000,0.0,0,0.0,5118932.322618081,5118932.322618081,,0.08026760255243394,0.0
500000,0.0,10,0.0,5118932.322618081,5118932.322618081,,0.08026760255243394,0.0
500000,0.0,20,0.0,5118932.322618081,5118932.322618081,,0.08026760255243394,0.0
500000,3.0,0,141285.0,2760525.348037834,2901810.348037834,16.692550338537337,0.24541545496798073,4.2250000000000005
500000,3.0,10,168007.01492256336,2790661.396530155,2958668.4114527185,13.804301338527639,0.20098263117511408,0.79
500000,3.0,20,196056.99747553823,2833912.351711064,3029969.3491866025,11.501874456047565,0.16174650580062436,0.037
500000,3.3793103448275863,0,141893.7931034483,2556378.111013571,2698271.9041170194,18.059663890556994,0.271814713544899,6.3704
500000,3.3793103448275863,10,168730.9524390427,2588846.181845998,2757577.134285041,14.936531013404549,0.21925565758290447,1.4184
500000,3.3793103448275863,20,196901.8015803327,2635486.8713212335,2832388.672901566,12.447071031621563,0.17348139409800806,0.0948
500000,3.7586206896551726,0,142502.58620689652,2368220.9577892525,2510723.543996149,19.302887323287788,0.29882495511193413,8.874
500000,3.7586206896551726,10,169454.88995552209,2402794.287249135,2572249.177204657,15.966431762295572,0.23776096749146272,2.2666
500000,3.7586206896551726,20,197746.60568512714,2452501.6330638123,2650248.2387489392,13.307148973005674,0.18525440181640485,0.19
500000,4.137931034482758,0,143111.37931034484,2194795.7313104137,2337907.110620759,20.43259316903458,0.32623235947619594,11.658399999999999
500000,4.137931034482758,10,170178.8274720014,2231270.8764320123,2401449.7039040136,16.902537054031058,0.256358145189387,3.2906
500000,4.137931034482758,20,198591.40978992157,2283754.103656326,2482345.5134462477,14.08917036851018,0.19698148897879855,0.335
500000,4.517241379310345,0,143720.17241379316,2034937.7045354338,2178657.876949227,21.458328126710974,0.3538303327230851,14.607600000000001
500000,4.517241379310345,10,170902.76498848083,2073132.1226602981,2244034.887648779,17.752705214301375,0.27491442066847754,4.4794
500000,4.517241379310345,20,199436.213894716,2128129.529724363,2327565.743619079,14.799642945359297,0.2085848509086282,0.5314
500000,4.896551724137931,0,144328.96551724145,1887569.8198716748,2031898.785388916,22.38887039178834,0.38142443071504073,17.5956
500000,4.896551724137931,10,171626.7025049602,1927319.6892337657,2098946.391738726,18.524165727698914,0.2933074949468437,5.7982
500000,4.896551724137931,20,200281.01799951046,1984595.7241159908,2184876.7421155013,15.444557526791188,0.21999436862699492,0.754
