nsow,dh,upfront_cost,total_cost,bcr,reliability,satisficing
10000,0.0,0.0,597099.2154987569,,0.16024569471171832,0.0
10000,0.4827586206896552,24677.16656010658,557850.2379119677,2.584671472896356,0.18814413563407117,0.36
10000,0.9655172413793104,24677.16656010658,501986.3980037301,4.843331971527121,0.21729911031888396,4.19
10000,1.4482758620689655,24677.16656010658,453147.8861386374,6.817914484877919,0.2471009581397966,8.73
10000,1.9310344827586208,24677.16656010658,410426.8216326463,8.545132009527912,0.2769697381605212,13.44
10000,2.413793103448276,24677.16656010658,373030.0246227454,10.057059479987796,0.306391907757007,17.73
10000,2.896551724137931,24677.16656010658,340265.7766282813,11.381669024629263,0.33494204848755327,21.790000000000003
10000,3.3793103448275863,168789.43197199787,455644.03417859494,1.8338442452447759,0.36229106111654713,5.1
10000,3.8620689655172415,169711.12632727346,431338.18267460424,1.9721805073936485,0.3882039245235913,8.05
10000,4.344827586206897,170632.82068254912,410083.79368708975,2.0911787633387378,0.4125305590788954,11.14
10000,4.827586206896552,171554.51503782478,391485.95496490266,2.1934478397805894,0.4351929879422647,14.000000000000002
10000,5.310344827586207,172477.00047160478,375202.92450675013,2.281227267277275,0.4561712691897283,17.11
10000,5.793103448275862,173399.92539344289,360937.38962258777,2.3564608335468566,0.47548987887680433,20.49
10000,6.275862068965518,174322.85031528096,348431.5321146926,2.420826645364131,0.4932055301088054,23.53
10000,6.758620689655173,175245.77523711903,337462.30249372637,2.4757664635073473,0.5093968837813391,26.290000000000003
10000,7.241379310344828,176168.7001589571,327836.38648740324,2.522523390072576,0.5241562470292582,29.310000000000002
10000,7.724137931034483,177091.6250807952,319386.19796509953,2.56216962674704,0.5375831382400295,31.64
10000,8.206896551724139,178014.5500026333,311966.3921534721,2.595630453043306,0.5497794852432871,34.150000000000006
10000,8.689655172413794,180266.9262999762,306780.2897510682,2.6043553265380615,0.5608461796531803,35.69
10000,9.172413793103448,184573.9092685539,304443.50678913546,2.5794843161095273,0.5708807097860504,36.4
10000,9.655172413793103,188880.8922371316,302806.2209909053,2.552053327969689,0.5799756264397758,36.8
10000,10.13793103448276,193187.8752057093,301785.582959937,2.5226614489743557,0.588217634882686,37.01
10000,10.620689655172415,197494.85817428704,301309.4217172808,2.4918015512743565,0.5956871472411082,37.25
10000,11.10344827586207,201801.84114286475,301314.790638136,2.4598788181480185,0.6024581598998638,37.330000000000005
10000,11.586206896551724,206108.82411144246,301746.7159126555,2.427225966299362,0.6085983499470246,37.15
10000,12.068965517241379,210415.80708002014,302557.11989074695,2.394115769057756,0.6141693191814466,36.8
10000,12.551724137931036,214722.79004859785,303703.8951838371,2.3607713716013055,0.619226930727117,36.16
10000,13.03448275862069,219029.77301717552,305150.1085221887,2.3273747978348207,0.6238216960624082,35.260000000000005
10000,13.517241379310345,223336.75598575326,306863.31599113723,2.29407397518176,0.627999183621113,34.29
10000,14.0,227643.7389543309,308814.9736756143,2.2609885436134087,0.6318004304932366,33.0
