Parameter,S1,S1_conf,ST,ST_conf
mu_u,0.0003871954768150177,0.000727771539573634,0.0028237993401328946,0.00024843016667327886
sigma_u,0.03634871656425089,0.006127404567679312,0.11828359690697056,0.010719925000838237
xi_u,0.33241653693872786,0.02605568811949341,0.6764876209841567,0.04217950782899369
dr_u,0.011930932731560033,0.00399528921752799,0.08482461741859487,0.010112099665989078
lt_u,0.0643493672028466,0.01318061410655869,0.2816943068997862,0.024758774516170503
dd_err,0.007614718942184496,0.002599470977059684,0.035764475501668384,0.0037109195469133462
hv_rate,0.061377879888947454,0.007581238215030624,0.3309426742826958,0.04013571033867794
b1,0.00036592677320649404,0.0011047624759623117,0.00498409404125274,0.00056306641736627
b2,0.017364016800239256,0.004703647309890683,0.08327779627980794,0.007941433587972472
