nsow,iteration,dh,upfront_cost,total_cost,bcr,reliability,satisficing
10,1,0,0.0,17964987.360504694,,0.04264518011961321,0.0
10,1,3,141285.0,17968965.97647292,0.9718397850569259,0.07743577790627343,10.0
10,1,9,153870.0,17773817.910379935,2.242408852438823,0.09816769616988294,10.0
10,1,14,191370.0,17672554.88569345,2.528099884053128,0.09984178833860635,10.0
10,2,0,0.0,23513119.11127765,,0.38419260778832853,0.0
10,2,3,141285.0,23262869.32942945,2.7712409799214637,0.4016875830823873,0.0
10,2,9,153870.0,22632833.265878066,6.720971244554413,0.44447919816364045,0.0
10,2,14,191370.0,22236591.262801506,7.670470023912576,0.4723037039615113,10.0
10,3,0,0.0,22175347.41984839,,0.00563296942071817,0.0
10,3,3,141285.0,22078344.027949277,1.6865795512553903,0.03553199039345202,0.0
10,3,9,153870.0,21797279.651138134,3.457059652370563,0.09042596761712887,10.0
10,3,14,191370.0,21673568.83413247,3.622033681956013,0.1009156812955047,10.0
10,4,0,0.0,83286362.54491176,,0.18961397991950973,0.0
10,4,3,141285.0,83354732.52984247,0.5160846166918744,0.19492262750033898,0.0
10,4,9,153870.0,83253105.37594996,1.2161380968467008,0.1986335400573334,0.0
10,4,14,191370.0,83215905.8467267,1.3681700276170496,0.19948353606849573,0.0
10,5,0,0.0,24682245.876696378,,0.00231512057091103,0.0
10,5,3,141285.0,24628630.809984565,1.3794816626804975,0.0055744648273099535,0.0
10,5,9,153870.0,24342126.059664376,3.210436193098063,0.01676961927096736,0.0
10,5,14,191370.0,24191559.94039285,3.5640692705414976,0.02893516071593801,0.0
10,6,0,0.0,22343762.241084706,,0.38936193945208103,0.0
10,6,3,141285.0,22107576.530586958,2.6716969989577817,0.3959287988675876,0.0
10,6,9,153870.0,21546995.495247997,6.1781812298479934,0.3993991980148839,0.0
10,6,14,191370.0,21228844.292263165,6.825980816332439,0.3998788756687431,0.0
10,7,0,0.0,9842387.97707987,,0.382434968124351,0.0
10,7,3,141285.0,9764803.62783945,1.5491336606180435,0.3923870313088677,0.0
10,7,9,153870.0,9440527.34658047,3.611689286406704,0.39855276672777634,0.0
10,7,14,191370.0,9266479.63423409,4.00939720356263,0.400200871766352,0.0
10,8,0,0.0,27169132.142113704,,0.006906954637219087,0.0
10,8,3,141285.0,27129709.51546069,1.2790291018368543,0.03443905653726389,0.0
10,8,9,153870.0,26924376.214876868,2.5906669736585406,0.1098413761392583,10.0
10,8,14,191370.0,26849660.39935599,2.669393022718911,0.15233463062974012,10.0
10,9,0,0.0,32540330.986978263,,0.08310426453837616,0.0
10,9,3,141285.0,32677844.837128073,0.02669179212369862,0.09042907480822797,0.0
10,9,9,153870.0,32687356.022890944,0.044485371335038625,0.09652333098127734,0.0
10,9,14,191370.0,32723790.888875954,0.04133405498411277,0.09833239176357465,0.0
