nsow,dh,upfront_cost,total_cost,bcr,reliability,satisficing
100000,0.0,0.0,3967076.4441110203,,0.10399410158820847,0.0
100000,0.4827586206896552,28795.46298721575,3582796.5947247082,14.202385358186826,0.11911685014040639,0.092
100000,0.9655172413793104,28795.46298721575,3215903.77312927,26.817203075934447,0.13533174705167153,0.575
100000,1.4482758620689655,28795.46298721575,2890152.4387276117,38.01770332564416,0.15238802941272805,1.352
100000,1.9310344827586208,28795.46298721575,2600990.4142646026,47.96033908206079,0.17000486402094953,2.313
100000,2.413793103448276,28795.46298721575,2344323.573979314,56.78582403292121,0.1878917587065664,3.454
100000,2.896551724137931,28795.46298721575,2116482.4806396025,64.62027907317888,0.20576754389044324,4.649
100000,3.3793103448275863,196958.18112441528,2082350.7753416928,10.464535689360677,0.22337583516878626,0.293
100000,3.8620689655172415,198033.6942157671,1903755.7035177397,11.306067176209408,0.24049585630569686,0.601
100000,4.344827586206897,199109.20730711898,1745184.8117968414,12.038936232862573,0.25694843328668887,1.032
100000,4.827586206896552,200184.72039847085,1604330.1389582353,12.676306473210973,0.27259767520744477,1.496
100000,5.310344827586207,201261.15658898558,1479146.8118202284,13.229710432445565,0.2873492645899622,2.11
100000,5.793103448275862,202338.10561236867,1367823.3903563228,13.70936881729018,0.30114641319121155,2.7560000000000002
100000,6.275862068965518,203415.05463575164,1268757.9094677672,14.124278765152889,0.3139644761426791,3.3579999999999997
100000,6.758620689655173,204492.0036591347,1180535.5080999564,14.482313046111166,0.32580504317873393,3.982
100000,7.241379310344828,205568.95268251773,1101907.0692373065,14.790381470106203,0.3366901110944494,4.6
100000,7.724137931034483,206645.9017059008,1031770.4104281946,15.054546036233655,0.34665673342965625,5.236
100000,8.206896551724139,207722.8507292839,969153.3871429825,15.28012339264723,0.3557523673430963,5.835
100000,8.689655172413794,210351.11917920678,914750.0906759644,15.357672847902341,0.3640310033566269,6.18
100000,9.172413793103448,215376.88128832757,868650.8942544191,15.23435223661303,0.3715500708362062,6.091
100000,9.655172413793103,220402.64339744847,827791.9306432554,15.093110527430357,0.37836805516866834,5.845000000000001
100000,10.13793103448276,225428.40550656934,791585.6049579578,14.937727515394352,0.3845427333681882,5.524
100000,10.620689655172415,230454.16761569018,759513.6713806593,14.77135534906624,0.39012992525454177,5.088
100000,11.10344827586207,235479.92972481102,731118.8988957809,14.5966205358323,0.39518266007899494,4.527
100000,11.586206896551724,240505.69183393192,705997.7174310933,14.415709124803733,0.399750667019354,3.9539999999999997
100000,12.068965517241379,245531.45394305274,683793.7387244425,14.230437903456409,0.4038801098044881,3.3520000000000003
100000,12.551724137931036,250557.21605217358,664192.05533286,14.042313953224328,0.4076134999500541,2.7449999999999997
100000,13.03448275862069,255582.97816129445,646914.2297956176,13.852584507106787,0.4109897367003194,2.156
100000,13.517241379310345,260608.74027041535,631713.8943419723,13.662278720709589,0.4140442334260766,1.688
100000,14.0,265634.5023795361,618372.8896084339,13.472242694092898,0.4168090997488149,1.284
