nsow,dh,yr_elev,upfront_cost,damages,total_cost,bcr,reliability,satisficing
500000,0.0,0,0.0,1827679.6532044858,1827679.6532044858,,0.15513963597988145,0.0
500000,0.0,10,0.0,1827679.6532044858,1827679.6532044858,,0.15513963597988145,0.0
500000,0.0,20,0.0,1827679.6532044858,1827679.6532044858,,0.15513963597988145,0.0
500000,3.0,0,141285.0,849534.565237279,990819.565237279,6.923205492212244,0.4095110657536369,10.6192
500000,3.0,10,168006.5391063979,877816.4214208267,1045822.9605272246,5.638506976113349,0.33841855596914416,2.8624
500000,3.0,20,196049.0308767348,913360.441449667,1109409.4723264019,4.614043350029045,0.2819836990659931,0.364
500000,3.3793103448275863,0,141893.7931034483,774481.5698118211,916375.3629152694,7.422439420058537,0.44246956922888697,14.6454
500000,3.3793103448275863,10,168730.4745725988,804939.6690764431,973670.1436490418,6.045051551998112,0.3602633833747607,4.415
500000,3.3793103448275863,20,196893.80065367842,843218.8657573201,1040112.6664109986,4.946668429754276,0.29598866165143456,0.6522
500000,3.7586206896551726,0,142502.58620689652,706831.6202656968,849334.2064725932,7.865457482374763,0.4745596293257705,18.8144
500000,3.7586206896551726,10,169454.41003879963,739252.5589693036,908706.9690081031,6.405808814674413,0.3812096300703216,6.121
500000,3.7586206896551726,20,197738.570430622,779998.742595086,977737.313025708,5.241822957618781,0.30923395902846695,1.0318
500000,4.137931034482758,0,143111.37931034484,645811.1485308507,788922.5278411955,8.25838245965535,0.505589220627909,23.0712
500000,4.137931034482758,10,170178.34550500044,680003.7453656673,850182.0908706677,6.725766708818575,0.40117283895303063,8.011600000000001
500000,4.137931034482758,20,198583.34020756555,722976.6517470774,921559.991954643,5.503590136669228,0.3216943122558104,1.4671999999999998
500000,4.517241379310345,0,143720.17241379316,590728.4275128864,734448.5999266794,8.60666394227681,0.5354132735093061,27.190399999999997
500000,4.517241379310345,10,170902.28097120134,626521.3775901402,797423.6585613417,7.009364650187575,0.42009920776966747,10.1052
500000,4.517241379310345,20,199428.10998450915,671505.7202434529,870933.8302279621,5.735603969917232,0.3333624895147758,1.9806000000000001
500000,4.896551724137931,0,144328.96551724145,540965.2125422951,685294.1780595365,8.915150441568718,0.5639291223563576,31.220599999999997
500000,4.896551724137931,10,171626.2164374022,578204.9804604051,749831.1968978074,7.260552296690363,0.4379611839189923,12.224400000000001
500000,4.896551724137931,20,200272.8797614528,625007.8030816804,825280.6828431333,5.941097410220391,0.34424589676677814,2.5104
500000,5.275862068965517,0,144938.3497536946,495969.1533026538,640907.5030563484,9.188116893595895,0.5910711607302779,35.0414
500000,5.275862068965517,10,172350.85483887797,534518.0832852763,706868.9381241543,7.482811984868038,0.4547529807881641,14.346800000000002
500000,5.275862068965517,20,201118.469802775,582966.3849766701,784084.8547794451,6.122920769923522,0.35436337667844164,3.08
500000,5.655172413793103,0,145547.9556650247,455246.9218757182,600794.8775407429,9.429419499971479,0.6168052428156701,38.6478
500000,5.655172413793103,10,173075.75684108172,494981.54459061095,668057.3014316928,7.679284864744885,0.47048629662008423,16.5072
500000,5.655172413793103,20,201964.36744323917,544920.1522200214,746884.5196632606,6.2836449759511295,0.3637423366643194,3.6588000000000003
500000,6.0344827586206895,0,146157.5615763547,418358.0028264552,564515.56440281,9.64248195699257,0.6411232150450598,42.01
500000,6.0344827586206895,10,173800.6588432855,459167.52001710975,632968.1788603952,7.852759711241719,0.4851864116082411,18.623
500000,6.0344827586206895,20,202810.26508370336,510457.1840036454,713267.4490873489,6.425552450198879,0.3724162648359853,4.2246
500000,6.413793103448276,0,146767.1674876847,384909.09258820047,531676.2600758852,9.830335934890538,0.6640378279435163,45.123200000000004
500000,6.413793103448276,10,174525.56084548932,426694.0221379038,601219.5829833931,8.005705914037963,0.49888875606605887,20.660400000000003
500000,6.413793103448276,20,203656.1627241676,479209.7138250331,682865.8765492007,6.5506641350459835,0.3804226477900974,4.7934
500000,6.793103448275862,0,147376.77339901475,354549.05746761913,501925.8308666339,9.995676806876778,0.6855781716356486,48.001599999999996
500000,6.793103448275862,10,175250.4628476931,397220.0229486449,572470.4857963381,8.140318883238237,0.51163598184462,22.6386
500000,6.793103448275862,20,204502.06036463182,450849.4135275532,655351.473892185,6.660776673230174,0.3878012742869733,5.3216
500000,7.172413793103448,0,147986.37931034484,326964.4020304709,474950.78134081565,10.140901197581428,0.7057856989710262,50.5994
500000,7.172413793103448,10,175975.36484989687,370441.05215614295,546416.4170060399,8.258550645754712,0.5234755278545288,24.5826
500000,7.172413793103448,20,205347.95800509595,425083.1548170955,630431.1128221916,6.757487465634686,0.3945928909263718,5.8026
500000,7.551724137931034,0,148595.98522167487,301875.20239273284,450471.18761440774,10.268140478597482,0.7247108445980663,53.0552
500000,7.551724137931034,10,176700.2668521007,346085.247078933,522785.51393103367,8.362137138528809,0.5344576447461973,26.4362
500000,7.551724137931034,20,206193.8556455602,401649.2056879519,607843.0613335121,6.842217022723847,0.4008381668312281,6.256399999999999
500000,7.93103448275862,0,149205.59113300496,279031.4619212906,428237.05305429554,10.379290611855817,0.7424102119397386,55.27720000000001
500000,7.93103448275862,10,177425.1688543045,323909.8128706028,501334.9817249073,8.452622525308598,0.5446338295516446,28.1978
500000,7.93103448275862,20,207039.7532860244,380313.82198495645,587353.5752709808,6.91622887748884,0.4065769213257972,6.6902
500000,8.310344827586206,0,149815.19704433501,258209.84999852386,408025.0470428589,10.47603870748511,0.7589442778775429,57.3298
500000,8.310344827586206,10,178150.0708565083,303697.85484111,481847.9256976183,8.531380835891726,0.5540556146467617,29.830000000000002
500000,8.310344827586206,20,207885.65092648866,360868.197285548,568753.8482120367,6.9806473049190405,0.41184756922233934,7.0851999999999995
500000,8.689655172413794,0,151542.41379310348,239210.78724765286,390753.20104075636,10.48200847668643,0.7743755544393172,58.897
500000,8.689655172413794,10,180203.95986275238,285255.5473123391,465459.5071750914,8.536213713367937,0.5627736551704774,31.0468
