Parameter,S1,S1_conf,ST,ST_conf
mu_u,0.005804581478177173,0.001475678948276228,0.011202635175475846,0.0005103200663971047
sigma_u,0.0507156488668491,0.004742914049320693,0.08731687521469185,0.0039038524008966147
xi_u,0.11169147294526337,0.007160489480830738,0.18825064216374318,0.007912476938935684
dr_u,0.036025333920266835,0.005530644569451203,0.12336022389764748,0.00862850843802199
lt_u,0.18392437342968793,0.011197822814361328,0.4119629099985361,0.01854452894277068
dd_err,0.024151799017430864,0.0031448158545523564,0.0502925130370593,0.0024575004413395366
hv_rate,0.22457463932935265,0.01155647702731566,0.43996173095000646,0.02179908831325664
b1,0.005554543616537048,0.0019904564136027235,0.015958137583220244,0.0009493320008791614
b2,0.019084733432281557,0.0034800133106892266,0.0584607482219168,0.004064884498593094
