nsow,dh,upfront_cost,total_cost,bcr,reliability,satisficing
10000,0.0,0.0,3216009.3700858913,,0.10342880108449597,0.0
10000,0.4827586206896552,20745.0,2879003.654103256,17.24515381936059,0.12915163077236697,0.73
10000,0.9655172413793104,20745.0,2562490.648079373,32.50246912540458,0.1583177616460583,4.15
10000,1.4482758620689655,20745.0,2282561.5281351837,45.99628064356267,0.19061248313728504,7.91
10000,1.9310344827586208,20745.0,2035037.8073614219,57.9280097722087,0.22557497406167412,11.78
10000,2.413793103448276,20745.0,1816180.843271986,68.47787547909883,0.2626371433297551,15.93
10000,2.896551724137931,20745.0,1622655.6196086651,77.80664017725846,0.3011702238771258,20.47
10000,3.3793103448275863,141893.79310344835,1572643.7416598222,12.581659722268235,0.3405315586947676,9.030000000000001
10000,3.8620689655172415,142668.62068965516,1421988.515135596,13.574740305738294,0.380105483388573,13.420000000000002
10000,4.344827586206897,143443.4482758621,1288730.400657833,14.43581036703487,0.41933458306397353,18.13
10000,4.827586206896552,144218.275862069,1170805.586882232,15.181307958220923,0.45774001666859093,23.01
10000,5.310344827586207,144993.7684729064,1066392.144125601,15.825583530936152,0.49493149678515785,27.61
10000,5.793103448275862,145769.630541872,973882.2458778253,16.38130484294546,0.530608683544702,32.26
10000,6.275862068965518,146545.49261083742,891859.209848827,16.85958134112674,0.5645562491482385,36.46
10000,6.758620689655173,147321.35467980293,819076.3301823316,17.270099098078465,0.5966348672134661,40.67
10000,7.241379310344828,148097.21674876846,754437.0216483924,17.621327547385985,0.6267700752783772,44.78
10000,7.724137931034483,148873.078817734,696977.3255193075,17.920668696928384,0.6549405169557244,48.17
10000,8.206896551724139,149648.9408866996,645850.2627995298,18.17458935597981,0.6811666116671325,51.580000000000005
10000,8.689655172413794,151542.41379310348,601429.4961155285,18.253122795971656,0.7055002950937321,54.22
10000,9.172413793103448,155163.10344827586,563671.3140633148,18.0938708821762,0.7280161542018381,56.08
10000,9.655172413793103,158783.79310344835,530274.8183913318,17.914412354066844,0.7488040523920745,57.75
10000,10.13793103448276,162404.48275862072,500736.235865473,17.71920065319926,0.7679631918523574,59.330000000000005
10000,10.620689655172415,166025.17241379313,474613.1127210911,17.511931398765704,0.785597474783344,60.88
10000,11.10344827586207,169645.86206896557,451516.74503665266,17.29566787738919,0.8018119854342065,62.31
10000,11.586206896551724,173266.5517241379,431105.5182399271,17.072945552006367,0.8167104049672096,63.29
10000,12.068965517241379,176887.24137931035,413079.05519670085,16.84585916447581,0.8303931805812561,64.21
10000,12.551724137931036,180507.93103448275,397173.08147586766,16.61613538228155,0.8429562899517612,64.94
10000,13.03448275862069,184128.62068965522,383154.9251022847,16.385193428230377,0.8544904652630576,65.39
10000,13.517241379310345,187749.3103448276,370819.5764522294,16.154195711334847,0.8650807646626577,65.88000000000001
10000,14.0,191370.0,359986.2416853531,15.924090131162346,0.8748064004289872,66.19
