nsow,iteration,dh,upfront_cost,total_cost,bcr,reliability,satisficing
100,4,14,191370.0,2547140.352202511,1.2649942050669698,0.5217613153180491,7.000000000000001
100,5,0,0.0,5470276.889311688,,0.02071671347810914,0.0
100,5,3,141285.0,5537056.119697282,0.5273438058846024,0.049079629049288614,0.0
100,5,9,153870.0,5450231.858791208,1.1302725061446655,0.09884889646762211,4.0
100,5,14,191370.0,5429981.28260858,1.210563864258291,0.12083570228860895,6.0
100,6,0,0.0,3838101.637316052,,0.3419780984817574,0.0
100,6,3,141285.0,3941429.6818033545,0.2686552394995638,0.35168270709353544,0.0
100,6,9,153870.0,3896395.803281493,0.6211466434948821,0.357754328939849,0.0
100,6,14,191370.0,3897091.269424769,0.6917508903761365,0.3590869219773699,0.0
100,7,0,0.0,5996666.335984744,,2.428364904713821e-07,0.0
100,7,3,141285.0,6075215.117695662,0.4440401903180187,1.400880093021864e-06,0.0
100,7,9,153870.0,5990495.904587874,1.0401015883334646,1.5598205851626708e-05,0.0
100,7,14,191370.0,5965147.997901841,1.164698427563894,6.0262864074944205e-05,0.0
100,8,0,0.0,2464115.9389609387,,0.4323348477233486,0.0
100,8,3,141285.0,2525372.3201117353,0.566433937425788,0.4654848799151378,0.0
100,8,9,153870.0,2426359.336624411,1.2453798813058292,0.5029216143542737,2.0
100,8,14,191370.0,2397598.344296721,1.347586323165688,0.517539457665063,2.0
100,9,0,0.0,5438440.473600806,,0.001130887608091787,0.0
100,9,3,141285.0,5486560.227035816,0.6594135723182987,0.004933476130012896,0.0
100,9,9,153870.0,5360144.304327099,1.5088462291135878,0.02117958816321086,3.0
100,9,14,191370.0,5310575.388383754,1.6681563736063745,0.031123462852857456,2.0
100,10,0,0.0,6673842.654929629,,2.1738578120129718e-08,0.0
100,10,3,141285.0,6777431.341708831,0.26681044145376454,2.2233412024359884e-08,0.0
100,10,9,153870.0,6731997.455496988,0.6220523781935248,2.2578865536887377e-08,0.0
100,10,14,191370.0,6732117.310945176,0.6954869832494619,2.2663614065849344e-08,0.0
1000,1,0,0.0,2583858.6033877297,,0.0862991751104665,0.0
1000,1,3,141285.0,2609531.5007145945,0.8182900001637502,0.22821606583603113,0.0
1000,1,9,153870.0,2497587.7347485144,1.5606737417249303,0.4385435386083693,19.6
1000,1,14,191370.0,2471727.100234763,1.5859408640485253,0.5056957344924375,19.2
1000,2,0,0.0,4223810.956414113,,0.028865040370334497,0.0
1000,2,3,141285.0,4225975.3808127735,0.9846804374232165,0.07613580155374108,0.1
1000,2,9,153870.0,4054082.0890079457,2.1030666628073513,0.15918056641537442,9.0
1000,2,14,191370.0,3985539.7691754326,2.2450811895212435,0.19541462250549244,10.100000000000001
1000,3,0,0.0,5085734.7468541935,,0.009205820933310077,0.0
1000,3,3,141285.0,5097185.32988073,0.918954007668633,0.02430523552480215,0.0
1000,3,9,153870.0,4924341.463501636,2.048893763258323,0.05562523908261301,3.9
1000,3,14,191370.0,4850109.408243219,2.2312553619217996,0.07258850885801796,4.5
1000,4,0,0.0,4510943.781169224,,0.01680903929932712,0.0
1000,4,3,141285.0,4512533.802044897,0.9887460036403422,0.04593339247008886,0.1
1000,4,9,153870.0,4338126.794232064,2.1231363289605434,0.10670181257981781,6.5
1000,4,14,191370.0,4268704.452231037,2.2658166323780407,0.13980457999429763,8.1
1000,5,0,0.0,3423619.016615911,,0.23297339686911844,0.0
1000,5,3,141285.0,3454720.4564538724,0.7798673614469964,0.26735249398166794,0.0
1000,5,9,153870.0,3321163.560073859,1.6658572596480925,0.3168043488514554,4.1000000000000005
1000,5,14,191370.0,3276114.282261921,1.7707829563358408,0.3411567268999483,5.4
1000,6,0,0.0,4475181.534699398,,0.016031927779565473,0.0
1000,6,3,141285.0,4471750.046928634,1.0242877005397906,0.04551209562701899,0.0
1000,6,9,153870.0,4289670.728114979,2.2056333696264283,0.1047979744532027,5.7
1000,6,14,191370.0,4215660.447473952,2.3561221049560905,0.13653450440595988,8.6
1000,7,0,0.0,4474809.229598926,,0.05425906660170216,0.0
1000,7,3,141285.0,4486745.113143364,0.9155191029165322,0.07863126630753027,0.0
1000,7,9,153870.0,4326468.636070102,1.9640644279510198,0.12881267528305904,4.3999999999999995
1000,7,14,191370.0,4265922.672493577,2.0915324089739697,0.15826491372077522,6.5
1000,8,0,0.0,4217160.665330324,,0.031297537553167866,0.0
1000,8,3,141285.0,4220403.418706138,0.9770481411628009,0.08172563629755829,0.1
1000,8,9,153870.0,4049717.1722248956,2.0882140320103226,0.1629272053233812,7.9
1000,8,14,191370.0,3981521.7736021094,2.2313261834572526,0.1957203357965578,9.1
1000,9,0,0.0,4537838.62553721,,0.015462144030912185,0.0
1000,9,3,141285.0,4535840.044660166,1.014145740008098,0.04134602783254096,0.1
1000,9,9,153870.0,4355614.957621748,2.1842702795571722,0.095724624950427,5.3
