nsow,iteration,dh,upfront_cost,total_cost,bcr,reliability,satisficing
100000,1,0,0.0,3418805.106249885,,0.10421064093319712,0.0
100000,1,3,141285.0,1813591.2212585302,12.361530841854089,0.3123555053376051,6.916
100000,1,9,153870.0,609246.637098602,19.25929985800535,0.7203082401893945,55.57299999999999
100000,1,14,191370.0,372807.44592629484,16.916798141420237,0.8747469726310507,66.95400000000001
100000,2,0,0.0,4628767.596821505,,0.10455792777656257,0.0
100000,2,3,141285.0,2381075.6358834393,16.908921406646602,0.313020305637894,6.88
100000,2,9,153870.0,732804.9038018164,26.319832930523745,0.7218399658430227,55.87
100000,2,14,191370.0,410197.6864927983,23.04405032308463,0.8760664107475113,67.443
100000,3,0,0.0,3372003.45614393,,0.10380086571589894,0.0
100000,3,3,141285.0,1786392.4572935242,12.222783726867014,0.3115556632243272,6.813
100000,3,9,153870.0,606785.2150884016,18.971133041239543,0.7198298836199206,55.616
100000,3,14,191370.0,375556.6545799496,16.65787114784961,0.8747047298861045,67.255
100000,4,0,0.0,6414440.677957474,,0.10436621791225696,0.0
100000,4,3,141285.0,3282813.549832694,23.16531923505525,0.31303008767230894,6.882000000000001
100000,4,9,153870.0,927401.2751703699,36.660228782654876,0.7217658582668449,55.855999999999995
100000,4,14,191370.0,451666.77281676466,32.158352433195965,0.876065932532719,67.196
100000,5,0,0.0,3452335.5683185877,,0.10433895119101308,0.0
100000,5,3,141285.0,1795666.9348168261,12.725722005179332,0.3122788684073925,6.6930000000000005
100000,5,9,153870.0,587027.0334996071,19.621619125358947,0.7204494856041905,55.532000000000004
100000,5,14,191370.0,359811.92915666895,17.159918687160573,0.8751908551862062,66.898
100000,6,0,0.0,3384719.9278309075,,0.10416402947578075,0.0
100000,6,3,141285.0,1788153.1329593512,12.300327670110462,0.3122957764983797,6.829000000000001
100000,6,9,153870.0,600353.8889734857,19.09557443853527,0.7210102967392147,55.733999999999995
100000,6,14,191370.0,369809.7701942017,16.75435103535928,0.8756152907137803,67.282
100000,7,0,0.0,3375084.270136199,,0.10407174331072544,0.0
100000,7,3,141285.0,1779444.7557969587,12.293764478460137,0.3119943206439208,6.877
100000,7,9,153870.0,596064.4732762948,19.060829251055466,0.72005074941633,55.688
100000,7,14,191370.0,367125.7105799463,16.718025602530457,0.8748665989536953,67.19800000000001
100000,8,0,0.0,3524996.6317280433,,0.10386973180043034,0.0
100000,8,3,141285.0,1859450.8971830427,12.788553169444741,0.3114117311026878,6.873
100000,8,9,153870.0,619931.4172146061,19.879997494725654,0.7204662638211613,55.772
100000,8,14,191370.0,377659.7972708789,17.446343912092615,0.8754605544259505,67.245
100000,9,0,0.0,3493355.560271018,,0.10383070156043721,0.0
100000,9,3,141285.0,1834195.8283934223,12.743353730952302,0.3118873686959978,6.898999999999999
100000,9,9,153870.0,605694.6208396003,19.766887238782203,0.7208223192029979,55.553
100000,9,14,191370.0,368383.3708327506,17.329477919414053,0.8754929603780681,67.304
100000,10,0,0.0,3757663.5090720057,,0.10455330609391841,0.0
100000,10,3,141285.0,1986798.9976419494,13.533988119262883,0.3130124456592671,6.8870000000000005
100000,10,9,153870.0,660887.807496162,21.125922542248937,0.7215634400768106,55.725
100000,10,14,191370.0,393667.4586931058,18.578492189888177,0.8760359548269294,67.051
