nsow,dh,upfront_cost,total_cost,bcr,reliability,satisficing
100000,0.0,0.0,3770686.9566474175,,0.10464500306310881,0.0
100000,0.4827586206896552,20745.0,3374840.385526316,20.081541148281573,0.13087852253728585,0.9129999999999999
100000,0.9655172413793104,20745.0,3005348.0924620223,37.892690488570516,0.16053191348412954,4.4350000000000005
100000,1.4482758620689655,20745.0,2677792.562443297,53.68230389029262,0.19324869145893608,8.176
100000,1.9310344827586208,20745.0,2387513.103731174,67.67504713985267,0.22853458691845444,12.07
100000,2.413793103448276,20745.0,2130318.70638451,80.07294530069453,0.26580046922672135,16.267
100000,2.896551724137931,20745.0,1902453.5700333756,91.05704442583958,0.30441026782430664,20.854
100000,3.3793103448275863,141893.79310344835,1821710.6203950092,14.735458709117026,0.3437266725048369,9.924
100000,3.8620689655172415,142668.62068965516,1643576.2048730555,15.909450596017418,0.38314930127668034,14.328
100000,4.344827586206897,143443.44827586203,1485764.5208697198,16.929081901206583,0.4221424782006665,19.056
100000,4.827586206896552,144218.27586206893,1345914.7280075473,17.813210490457763,0.4602520466222898,23.741
100000,5.310344827586207,144993.7684729064,1221935.3679786765,18.57835261137448,0.4971123210523101,28.34
100000,5.793103448275862,145769.63054187197,1111974.7024881155,19.23913694694859,0.5324452222511528,32.864
100000,6.275862068965518,146545.4926108374,1014395.8124722433,19.808433443222384,0.5660539349182993,37.151
100000,6.758620689655173,147321.35467980293,927753.4965378103,20.297497408224412,0.5978132722465538,41.148
100000,7.241379310344828,148097.2167487685,850772.5359604475,20.716200511994103,0.6276585339030197,44.876
100000,7.724137931034483,148873.078817734,782328.4072472748,21.073196397441365,0.6555741681687025,48.244
100000,8.206896551724139,149648.9408866996,721429.9477451032,21.37606808865378,0.6815831001797816,51.503
100000,8.689655172413794,151542.41379310348,668321.4467307533,21.471928830117722,0.7057372184559485,54.175
100000,9.172413793103448,155163.1034482759,622843.1806251984,21.287321573659835,0.7281092358249898,56.335
100000,9.655172413793103,158783.79310344835,582590.2731012307,21.078224743435424,0.7487859546472426,58.117
100000,10.13793103448276,162404.48275862072,546965.7983246887,20.84995182130592,0.7678628530139726,59.757000000000005
100000,10.620689655172415,166025.17241379313,515443.87842638034,20.606924846961316,0.7854398482806503,61.196
100000,11.10344827586207,169645.86206896554,487561.12130179117,20.352820017566646,0.8016180686338424,62.512
100000,11.586206896551724,173266.55172413794,462909.0645317433,20.09068922536227,0.8164974608096199,63.599000000000004
100000,12.068965517241379,176887.2413793103,441127.51713929564,19.823061593053737,0.8301750748476823,64.52799999999999
100000,12.551724137931036,180507.93103448272,421898.70013091416,19.55202836420954,0.8427438859976482,65.339
100000,13.03448275862069,184128.62068965522,404942.0957547499,19.27931392896033,0.8542920346717977,66.049
100000,13.517241379310345,187749.31034482754,390009.9240883437,19.00633529012699,0.8649023856677505,66.62
100000,14.0,191370.0,376883.1737140797,18.734251883436993,0.874652326800729,67.13799999999999
