nsow,iteration,dh,total_cost,bcr,reliability,satisficing
10,1,0,202478.5585230852,,0.16983828534578274,0.0
10,1,3,240512.48989168467,0.7307999336900634,0.35398117158915854,0.0
10,1,9,181268.73059659748,1.1378425159322008,0.7105296499767633,30.0
10,1,14,202041.9134075449,1.0022816800728447,0.8704152619466582,30.0
10,2,0,240721.5293630447,,0.10633046566484758,0.0
10,2,3,249856.61255497858,0.9353428658956446,0.34662174831912596,0.0
10,2,9,179079.88002247765,1.4006086263765976,0.7730331775907101,60.0
10,2,14,200055.41912476448,1.212499922862937,0.9142913137920949,70.0
10,3,0,147984.778821402,,0.18264625831355116,0.0
10,3,3,202109.47404328847,0.6169112416612768,0.5131432944058922,0.0
10,3,9,166134.64526692187,0.8820441512606754,0.8811426749196416,30.0
10,3,14,195326.42390466636,0.7526172070686922,0.9598673972901223,30.0
10,4,0,208375.55123071413,,0.18184151749416594,0.0
10,4,3,233956.93431916353,0.8189377280783564,0.4499834561064689,0.0
10,4,9,174877.03730680997,1.2177065959829996,0.8400955834602863,40.0
10,4,14,198576.71858207043,1.0512035985193273,0.9464856084912194,40.0
10,5,0,331480.13420001237,,0.07442846064633313,0.0
10,5,3,298096.0088332491,1.2362892406608152,0.2994316956880115,10.0
10,5,9,197001.1090905062,1.873978196591319,0.7181316101341408,70.0
10,5,14,208934.30300882686,1.640360721070103,0.8729986335349839,70.0
10,6,0,189589.76751224656,,0.1736053264733873,0.0
10,6,3,224159.98545467126,0.7553157239450421,0.41861185647900995,0.0
10,6,9,171387.41111208292,1.1182969805690754,0.8089935886138875,60.0
10,6,14,196907.74773105,0.9617600448408659,0.9308791830368417,40.0
10,7,0,241301.99169554235,,0.10846009387204714,0.0
10,7,3,262427.77753868455,0.8504739650837513,0.29960325665779924,0.0
10,7,9,189275.2099525455,1.3381216724702467,0.6806059930252302,40.0
10,7,14,205858.13350154203,1.185211152186865,0.8461525329630277,70.0
10,8,0,165369.20371383755,,0.14641998835065362,0.0
10,8,3,209115.9758619848,0.6903650624755121,0.445911405710602,0.0
10,8,9,167980.12671245736,0.9830316306062272,0.8309660893188608,30.0
10,8,14,196111.57629872224,0.8393563641903921,0.9350542940861905,30.0
10,9,0,210505.33125762586,,0.11496394778839022,0.0
10,9,3,240990.17096761515,0.7842315906855698,0.34485678527831204,0.0
10,9,9,181853.85608587266,1.186205726728753,0.7106461255387224,30.0
10,9,14,203111.6548051545,1.03863550427168,0.8622543609214119,40.0
10,10,0,195205.7997869115,,0.1686426368788077,0.0
10,10,3,223106.31267382103,0.8025231773584631,0.4824700760547224,0.0
10,10,9,170518.313912549,1.1604437893959996,0.864484361139778,60.0
10,10,14,196503.0720841672,0.9932211302855427,0.9573325979881846,60.0
100,1,0,187689.37128669265,,0.16934764904290048,0.0
100,1,3,228806.3545854863,0.7089784244697346,0.4311053616849101,0.0
100,1,9,177104.68697147153,1.0687897856321649,0.8012324481690765,32.0
100,1,14,200775.86141527392,0.9316168149209322,0.916122769144446,27.0
100,2,0,169639.78402723014,,0.19583550903804217,0.0
100,2,3,218042.30110309125,0.6574122017492224,0.47067258074324464,0.0
100,2,9,173558.84098191853,0.9745300776324926,0.8240951611798031,33.0
100,2,14,199160.78827900928,0.84573859930094,0.9276494402688674,30.0
100,3,0,203706.65058926024,,0.16024961594506626,0.0
100,3,3,234389.05864374357,0.7828332232403769,0.4353823122178889,0.0
100,3,9,178302.23567043967,1.1651031059909054,0.8049957229369435,33.0
100,3,14,201392.32955509957,1.0120934369763321,0.9151095193124871,39.0
100,4,0,199793.0210493985,,0.15602875026843413,0.0
100,4,3,233427.9488404836,0.7619356068154076,0.42055096585548346,0.0
100,4,9,178531.60950461632,1.1381777574886727,0.7967278815379918,39.0
