nsow,dh,yr_elev,upfront_cost,total_cost,bcr,reliability,satisficing
100000,0.0,0,0.0,4745351.2711943155,,0.10410150907998662,0.0
100000,0.0,10,0.0,4745351.2711943155,,0.10410150907998662,0.0
100000,0.0,20,0.0,4745351.2711943155,,0.10410150907998662,0.0
100000,0.4827586206896552,0,20745.0,4224165.834072896,26.123424300863835,0.1303383616342144,0.881
100000,0.4827586206896552,10,24667.420896662778,4234606.575278205,21.528240006346774,0.12470990699210405,0.296
100000,0.4827586206896552,20,28782.687579136647,4247583.364231085,18.032710863344683,0.11921260653522742,0.104
100000,0.9655172413793104,0,20745.0,3745682.6453685607,49.18841291037625,0.1600028333554985,4.336
100000,0.9655172413793104,10,24667.420896662778,3761816.6327958973,40.53854717550851,0.14736265511693758,1.694
100000,0.9655172413793104,20,28782.687579136647,3782543.1142039606,33.958538580731464,0.13541615601307588,0.54
100000,1.4482758620689655,0,20745.0,3323379.8221763102,69.54526146146087,0.19273675393031342,8.126
100000,1.4482758620689655,10,24667.420896662778,3344487.918844563,57.31884416171411,0.17173580693191842,3.807
100000,1.4482758620689655,20,28782.687579136647,3371993.0737386122,48.01795326854006,0.15246175082019178,1.284
100000,1.9310344827586208,0,20745.0,2950748.704538184,87.50771591497384,0.2280459590412565,12.024
100000,1.9310344827586208,10,24667.420896662778,2976204.63116211,72.12709708045243,0.19743482870146484,6.249
100000,1.9310344827586208,20,28782.687579136647,3009641.2229929725,60.42648850931156,0.1700688778524701,2.27
100000,2.413793103448276,0,20745.0,2621979.940139665,103.35581253577493,0.265343069148016,16.192
100000,2.413793103448276,10,24667.420896662778,2651238.6262309644,85.19362551481865,0.2240259049081157,8.937000000000001
100000,2.413793103448276,20,28782.687579136647,2689867.96740678,71.37664684303205,0.1879473316646975,3.396
100000,2.896551724137931,0,20745.0,2331903.7058225963,117.33875947802939,0.3039946152661866,20.952
100000,2.896551724137931,10,24667.420896662778,2364490.963227822,96.72345184058972,0.2510674146140751,11.860999999999999
100000,2.896551724137931,20,28782.687579136647,2407669.3561921464,81.03984319814603,0.20581615017066068,4.628
100000,3.3793103448275863,0,141893.79310344835,2197079.755060078,18.95900624262267,0.3433656913176962,10.005
100000,3.3793103448275863,10,168722.7725768496,2255489.719114036,15.628673356317554,0.27813760923410735,2.7640000000000002
100000,3.3793103448275863,20,196870.79856906275,2326689.1994230757,13.094969096907706,0.22341902653767956,0.32
100000,3.8620689655172415,0,142668.62068965516,1971920.6560582782,20.439667964331402,0.3828572284949589,14.377999999999998
100000,3.8620689655172415,10,169644.10293073292,2033034.590668634,16.84980652778227,0.3048559736459058,4.511
100000,3.8620689655172415,20,197945.83449779206,2107887.745370592,14.118572825726186,0.24053511514817977,0.596
100000,4.344827586206897,0,143443.44827586203,1773206.8153156617,21.71997356172587,0.42193328586042755,19.109
100000,4.344827586206897,10,170565.43328461636,1836712.7464513406,17.905783560838785,0.33089726971077854,6.557
100000,4.344827586206897,20,199020.8704265214,1914794.2442637843,15.003785348907144,0.2569850497701938,1.004
100000,4.827586206896552,0,144218.27586206893,1597766.1914122712,22.82514706244588,0.46013783364493155,23.822
100000,4.827586206896552,10,171486.76363849975,1663392.6952346654,18.817378701539557,0.355998517393941,8.821
100000,4.827586206896552,20,200095.9063552507,1744332.0395568607,15.767997322066064,0.2726326725438889,1.547
100000,5.310344827586207,0,144993.7684729064,1442803.2215132422,23.777172318948242,0.4971020324389373,28.494000000000003
100000,5.310344827586207,10,172408.88475846977,1510314.177100766,19.602701064926066,0.3799600056498094,11.333
100000,5.310344827586207,20,201171.8649736003,1593788.665982032,16.426371703993123,0.2873833742448286,2.1270000000000002
100000,5.793103448275862,0,145769.63054187197,1305855.4381273233,24.595421215525455,0.5325438868805308,32.895
100000,5.793103448275862,10,173331.44519293244,1375045.1659774054,20.27771117332939,0.40264182937503623,13.980999999999998
100000,5.793103448275862,20,202248.3361972946,1460773.4374416086,16.992275322406183,0.30118008829102044,2.818
100000,6.275862068965518,0,146545.4926108374,1184756.4706732982,25.296856471569853,0.5662624537190425,37.211
100000,6.275862068965518,10,174254.0056273951,1255445.6500525994,20.856387055623074,0.4239575011526683,16.451
100000,6.275862068965518,20,203324.8074209888,1343182.2069219057,17.477417041663408,0.3139979282401624,3.438
100000,6.758620689655173,0,147321.35467980293,1077602.3165599448,25.89624781557349,0.5981286751779138,41.215
100000,6.758620689655173,10,175176.5660618578,1149634.5237790672,21.350901574837984,0.4438660080682088,19.054
